source_file,record_idx,step,num_parents,num_candidates,num_selected,num_unique_candidates,duplicate_rate,mean_candidate_tokens,median_candidate_tokens,total_candidate_tokens,parent_assignment_misses,parent_assignment_miss_rate,num_parent_groups,num_branching_groups,avg_children_per_group,max_children_in_group,total_parent_prefix_tokens,reusable_parent_prefix_tokens,reusable_group_prefix_tokens,sibling_shared_suffix_tokens,exact_parent_child_prefix_tokens,exact_sibling_shared_prefix_tokens,parent_prefix_fraction_of_candidate_tokens,reusable_prefix_fraction_of_candidate_tokens,reusable_fraction_of_parent_prefix_tokens,reusable_group_prefix_fraction_of_candidate_tokens,exact_parent_child_prefix_fraction_of_candidate_tokens,exact_parent_child_prefix_fraction_of_parent_tokens,sibling_shared_prefix_fraction_of_candidate_tokens,sibling_shared_prefix_fraction_of_parent_tokens,pair_count_total,pair_count_used,pairwise_mean_lcp_tokens,pairwise_mean_lcp_ratio,sibling_pair_count_total,sibling_pair_count_used,sibling_suffix_mean_lcp_tokens,sibling_suffix_mean_lcp_ratio,selected_pair_count_total,selected_pair_count_used,selected_mean_lcp_tokens,selected_mean_lcp_ratio
logs/game24/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_0.7_propose1_value3_greedy5_start0_end5.json,0,0,1,7,5,6,0.1428571428571429,18.714285714285715,8,131,0,0.0,1,1,7.0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.047619047619047616,0.047619047619047616,21,21,0.047619047619047616,0.047619047619047616,10,10,0.1,0.1
logs/game24/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_0.7_propose1_value3_greedy5_start0_end5.json,0,1,5,25,5,23,0.07999999999999996,44.48,35,1112,0,0.0,4,4,6.25,10,664,568,574,6,659,6,0.5971223021582733,0.5107913669064749,0.8554216867469879,0.5161870503597122,0.5926258992805755,0.9924698795180723,0.00539568345323741,0.009036144578313253,300,300,6.83,0.2050428752681089,82,82,0.6829268292682926,0.08447416732231837,10,10,59.4,0.9362380300957591
logs/game24/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_0.7_propose1_value3_greedy5_start0_end5.json,0,2,5,32,5,29,0.09375,97.71875,89.0,3127,0,0.0,4,4,8.0,14,2484,2150,2150,0,2477,0,0.7943716021746082,0.6875599616245602,0.8655394524959742,0.6875599616245602,0.792133034857691,0.9971819645732689,0.0,0.0,496,496,62.36693548387097,0.7990481659445464,136,136,0.5661764705882353,0.06553479744300467,10,10,119.6,0.9001631701631702
logs/game24/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_0.7_propose1_value3_greedy5_start0_end5.json,0,3,5,36,5,33,0.08333333333333337,160.58333333333334,165.0,5781,0,0.0,5,5,7.2,9,5137,4420,4420,0,5129,0,0.8886005881335409,0.7645736031828403,0.8604243722016741,0.7645736031828403,0.8872167445078706,0.9984426708195445,0.0,0.0,630,630,123.71269841269842,0.8435919577000771,115,115,0.46956521739130436,0.058723976252580364,10,10,168.2,0.9501608179709852
logs/game24/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_0.7_propose1_value3_greedy5_start0_end5.json,1,0,1,7,5,7,0.0,18.571428571428573,24,130,0,0.0,1,1,7.0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,1.8095238095238095,0.13766788766788768,21,21,1.8095238095238095,0.13766788766788768,10,10,0.7,0.029166666666666667
logs/game24/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_0.7_propose1_value3_greedy5_start0_end5.json,1,1,5,33,5,31,0.06060606060606055,39.96969696969697,42,1319,0,0.0,5,5,6.6,9,674,572,572,0,667,0,0.5109931766489765,0.4336618650492798,0.8486646884272997,0.4336618650492798,0.5056861258529188,0.9896142433234422,0.0,0.0,528,528,4.166666666666667,0.13645157103676642,97,97,0.7010309278350515,0.07767713684791229,10,10,45.3,0.8667695834552726
logs/game24/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_0.7_propose1_value3_greedy5_start0_end5.json,1,2,5,38,5,34,0.10526315789473684,79.57894736842105,72.5,3024,0,0.0,5,5,7.6,10,2379,2058,2058,0,2372,0,0.7867063492063492,0.6805555555555556,0.8650693568726355,0.6805555555555556,0.7843915343915344,0.9970575872215216,0.0,0.0,703,703,48.298719772403985,0.7497357846934322,132,132,0.7878787878787878,0.09830380876433507,10,10,89.6,0.8611073950204385
logs/game24/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_0.7_propose1_value3_greedy5_start0_end5.json,1,3,5,36,5,34,0.05555555555555558,132.36111111111111,133.0,4765,0,0.0,5,5,7.2,10,4119,3545,3545,0,4113,0,0.8644281217208815,0.7439664218258132,0.8606457878125758,0.7439664218258132,0.8631689401888772,0.9985433357611071,0.0,0.0,630,630,94.24444444444444,0.794866025666471,117,117,0.7264957264957265,0.09213436858364395,10,10,134.6,0.9064911509610877
logs/game24/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_0.7_propose1_value3_greedy5_start0_end5.json,2,0,1,7,5,6,0.1428571428571429,18.714285714285715,21,131,0,0.0,1,1,7.0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,0.047619047619047616,0.047619047619047616,21,21,0.047619047619047616,0.047619047619047616,10,10,0.1,0.1
logs/game24/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_0.7_propose1_value3_greedy5_start0_end5.json,2,1,5,19,5,19,0.0,50.473684210526315,47,959,0,0.0,4,4,4.75,6,514,423,424,1,511,1,0.5359749739311783,0.4410844629822732,0.8229571984435797,0.4421272158498436,0.5328467153284672,0.9941634241245136,0.0010427528675703858,0.0019455252918287938,171,171,7.111111111111111,0.17784048678338413,41,41,0.4634146341463415,0.03410046639651349,10,10,39.2,0.8403191042186509
logs/game24/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_0.7_propose1_value3_greedy5_start0_end5.json,2,2,5,31,5,30,0.032258064516129004,82.64516129032258,81,2562,0,0.0,5,5,6.2,7,1931,1618,1618,0,1926,0,0.7537080405932864,0.6315378610460578,0.8379078197824961,0.6315378610460578,0.7517564402810304,0.9974106680476437,0.0,0.0,465,465,43.251612903225805,0.6695471793607533,82,82,0.6707317073170732,0.05256694524987208,10,10,104.4,0.9469738863287251
